name,categ,X,Y,Z,color
Острая почечная недостаточность,Урологические болезни,4.963207,-0.4655508,-11.354153,#29AF7F
Острое расширение желудка,Болезни органов пищеварения,14.559665,3.5526907,1.7412007,#404387
Острые аллергические реакции,Аллергические болезни,3.535786,-11.299418,9.287671,#53C567
Острые респираторные вирусные инфекции (ОРВИ),Инфекционные болезни,8.150072,-9.070701,4.8575006,#460C5F
Острый аппендицит,Болезни органов пищеварения,10.2726755,2.8647413,5.2218447,#404387
Острый бактериальный конъюнктивит,Глазные болезни,-2.6302366,-10.741847,5.538829,#E7E419
Острый бронхиолит,Болезни органов дыхания,6.3973956,-8.923812,2.1141486,#1E988A
Острый бронхит,Болезни органов дыхания,4.808772,-9.273595,2.719053,#1E988A
Острый вагинит,Женские болезни,8.659296,2.2750864,11.875269,#48196B
Острый вирусный гепатит,Болезни органов пищеварения,12.469039,-9.139889,4.988181,#404387
Острый гастрит,Болезни органов пищеварения,17.204239,-1.6729717,2.1731663,#404387
Острый гастродуоденит,Болезни органов пищеварения,16.12531,0.08553788,1.6864986,#404387
Острый гастроэнтерит,Болезни органов пищеварения,13.221293,-6.9998198,5.739445,#404387
Острый гепатит,Болезни органов пищеварения,12.750691,-9.505788,4.9659204,#404387
Острый гингивит,Болезни зубов,-8.051185,0.2941822,11.7735615,#FDE724
Острый гломерулонефрит ,Урологические болезни,10.019846,-5.301109,-5.2909036,#29AF7F
Острый дуоденит,Болезни органов пищеварения,15.472936,0.48800033,0.55936295,#404387
Острый живот,Болезни органов пищеварения,11.147871,2.8114855,2.938009,#404387
Острый калькулезный холецистит,Болезни органов пищеварения,12.801779,3.5922947,-2.8511493,#404387
Острый колит,Болезни толстого кишечника,14.831476,-2.9656796,1.4993708,#8DD644
Острый лейкоз,Онкологические болезни,5.6859546,-5.522305,-8.696674,#482374
Острый лимфобластный лейкоз,Онкологические болезни,5.4434743,-5.1115932,-8.856622,#482374
Острый лихеноидный парапсориаз,Кожные болезни,1.0155767,-4.587603,11.828915,#42BE71
Острый миелоидный лейкоз,Онкологические болезни,5.4839277,-5.0756483,-8.836051,#482374
Острый обструктивный бронхит,Болезни органов дыхания,5.663599,-9.287267,1.7936299,#1E988A
Острый остеомиелит,Болезни ОДС и травмы,-7.8708444,-1.5904728,4.3472414,#30678D
Острый панкреатит,Болезни органов пищеварения,11.729474,1.7798439,-1.6139606,#404387
Острый периодонтит,Болезни зубов,-8.848393,3.1807554,13.514368,#FDE724
Острый периостит,Болезни ОДС и травмы,-7.608642,-0.19099146,4.991657,#30678D
Острый перитонит,Болезни органов пищеварения,9.973564,1.8582538,2.9544775,#404387
Острый пиелонефрит,Урологические болезни,10.7206745,3.6820848,-1.7752628,#29AF7F
Острый проктит,Болезни толстого кишечника,14.013284,0.5032317,4.421082,#8DD644
Острый простатит,Урологические болезни,11.181708,2.9329948,8.420009,#29AF7F
Острый пульпит,Болезни зубов,-9.14904,3.4247518,14.008023,#FDE724
Острый сиаладенит,Болезни зубов,3.0841784,1.552332,5.392375,#FDE724
Острый сигмоидит,Болезни толстого кишечника,13.595277,1.024215,3.7896116,#8DD644
